,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
244,TXN_9642066,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-08-31
247,TXN_9238066,Tea,5.0,1.5,7.5,Digital Wallet,In-store,2023-09-15
250,TXN_6616971,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-09-02
251,TXN_7803615,Salad,3.0,5.0,15.0,Cash,In-store,2023-12-13
254,TXN_1583597,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-10
255,TXN_8472308,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-08-19
256,TXN_1967565,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-03-31
257,TXN_2029497,Sandwich,2.0,4.0,8.0,Cash,Takeaway,2023-01-06
260,TXN_7852990,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-07-10
262,TXN_2059647,Tea,1.0,1.5,1.5,Digital Wallet,In-store,2023-05-29
263,TXN_2485183,Smoothie,5.0,4.0,20.0,Cash,In-store,2023-07-07
265,TXN_9401522,Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-11-16
266,TXN_8250651,Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-03-13
268,TXN_8982764,Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-11-23
269,TXN_8669422,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-10-15
270,TXN_1153869,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-11-03
289,TXN_3495950,Tea,4.0,1.5,6.0,Credit Card,In-store,2023-02-19
290,TXN_7557340,Tea,5.0,1.5,7.5,Credit Card,In-store,2023-12-11
291,TXN_1157817,Smoothie,1.0,4.0,4.0,Digital Wallet,In-store,2023-04-25
292,TXN_2020318,Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-10-12
297,TXN_2031459,Cake,3.0,3.0,9.0,Cash,Takeaway,2023-07-04
299,TXN_2256622,Cookie,2.0,1.0,2.0,Cash,In-store,2023-10-04
300,TXN_1623966,Tea,2.0,1.5,3.0,Cash,Takeaway,UNKNOWN
301,TXN_4912930,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-02-26
303,TXN_3723007,Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-05-18
311,TXN_5446858,Cookie,1.0,1.0,1.0,Cash,In-store,2023-11-07
315,TXN_5754317,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-01-10
318,TXN_7559388,Salad,4.0,5.0,20.0,Digital Wallet,Takeaway,2023-02-26
319,TXN_8540499,Cookie,3.0,1.0,3.0,Cash,In-store,2023-01-22
321,TXN_6795640,Cookie,4.0,1.0,4.0,Digital Wallet,Takeaway,2023-01-28
322,TXN_6702428,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-08-11
330,TXN_5523450,Salad,5.0,5.0,25.0,Credit Card,Takeaway,2023-07-02
331,TXN_7838964,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-06-15
338,TXN_7275407,Smoothie,2.0,4.0,8.0,Digital Wallet,In-store,2023-10-20
342,TXN_9472241,Salad,3.0,5.0,15.0,Cash,Takeaway,2023-06-30
346,TXN_1846004,Juice,3.0,3.0,9.0,Cash,In-store,2023-05-21
349,TXN_7773968,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-02-24
350,TXN_9081088,Tea,2.0,1.5,3.0,Cash,Takeaway,2023-02-27
352,TXN_1130191,Smoothie,2.0,4.0,8.0,Cash,In-store,2023-04-06
354,TXN_1040764,Coffee,3.0,2.0,6.0,Cash,Takeaway,2023-07-27
356,TXN_8365478,Smoothie,3.0,4.0,12.0,Cash,Takeaway,2023-02-06
357,TXN_2100697,Coffee,3.0,2.0,6.0,Digital Wallet,Takeaway,2023-09-19
360,TXN_4134594,Sandwich,3.0,4.0,12.0,Digital Wallet,In-store,2023-09-27
361,TXN_5079340,Cookie,4.0,1.0,4.0,Cash,In-store,2023-08-18
362,TXN_8276635,Smoothie,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-12-16
363,TXN_1380601,Tea,4.0,1.5,6.0,Digital Wallet,In-store,2023-03-11
368,TXN_2052395,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-07-06
371,TXN_3638955,Cookie,2.0,1.0,2.0,Cash,Takeaway,2023-09-02
373,TXN_8256593,Salad,2.0,5.0,10.0,Digital Wallet,Takeaway,2023-08-09
374,TXN_9271457,Cake,3.0,3.0,9.0,Digital Wallet,In-store,2023-02-27
375,TXN_5392603,Coffee,1.0,2.0,2.0,Cash,In-store,2023-05-14
377,TXN_9263299,Cookie,2.0,1.0,2.0,Credit Card,Takeaway,2023-10-08
382,TXN_1436343,Cookie,1.0,1.0,1.0,Credit Card,In-store,2023-11-26
384,TXN_7480234,Salad,1.0,5.0,5.0,Cash,Takeaway,2023-05-10
389,TXN_3665733,Coffee,5.0,2.0,10.0,Cash,Takeaway,UNKNOWN
391,TXN_1454467,Juice,3.0,3.0,9.0,Cash,In-store,2023-03-15
394,TXN_8224079,Cookie,5.0,1.0,5.0,Cash,In-store,2023-10-16
395,TXN_1916339,Cake,1.0,3.0,3.0,Cash,In-store,2023-07-15
396,TXN_8611035,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-05-28
397,TXN_3595735,Tea,4.0,1.5,6.0,Digital Wallet,Takeaway,2023-03-26
400,TXN_6169633,Salad,4.0,5.0,20.0,Credit Card,Takeaway,2023-12-20
404,TXN_4518102,Tea,5.0,1.5,7.5,Credit Card,In-store,2023-02-08
410,TXN_3666858,Cake,4.0,3.0,12.0,Credit Card,In-store,2023-12-27
411,TXN_5499915,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-02-01
413,TXN_8089522,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-02-12
414,TXN_1564754,Salad,3.0,5.0,15.0,Digital Wallet,In-store,2023-03-14
415,TXN_1824506,Cake,1.0,3.0,3.0,Cash,In-store,2023-03-02
416,TXN_3229758,Coffee,4.0,2.0,8.0,Cash,Takeaway,UNKNOWN
418,TXN_1002457,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-09-29
420,TXN_4732351,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-04-22
422,TXN_4980036,Cake,2.0,3.0,6.0,Cash,Takeaway,2023-01-05
423,TXN_3022839,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-08-25
424,TXN_7701070,Coffee,5.0,2.0,10.0,Credit Card,Takeaway,2023-07-28
425,TXN_8048037,Sandwich,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-03-31
428,TXN_1887522,Sandwich,4.0,4.0,16.0,Cash,In-store,2023-02-20
436,TXN_6769465,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-06-13
440,TXN_4980282,Cake,1.0,3.0,3.0,Digital Wallet,In-store,2023-10-22
444,TXN_1325631,Cake,4.0,3.0,12.0,Credit Card,In-store,2023-02-11
445,TXN_8209125,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-01-30
447,TXN_3730415,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-04-09
448,TXN_4134253,Tea,4.0,1.5,6.0,Cash,In-store,2023-10-07
454,TXN_7558641,Coffee,1.0,2.0,2.0,Digital Wallet,In-store,2023-12-22
464,TXN_3234877,Coffee,4.0,2.0,8.0,Cash,Takeaway,2023-07-29
465,TXN_6368719,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-01-03
466,TXN_8852585,Sandwich,4.0,4.0,16.0,Credit Card,Takeaway,2023-01-05
467,TXN_9201010,Salad,1.0,5.0,5.0,Credit Card,Takeaway,2023-03-15
468,TXN_7817014,Cookie,1.0,1.0,1.0,Digital Wallet,Takeaway,ERROR
472,TXN_3607652,Salad,4.0,5.0,20.0,Digital Wallet,In-store,2023-06-05
473,TXN_8502094,Juice,5.0,3.0,15.0,Credit Card,In-store,2023-03-21
474,TXN_9068244,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-10-19
477,TXN_7633490,Cookie,1.0,1.0,1.0,Cash,Takeaway,2023-10-27
478,TXN_9292230,Tea,4.0,1.5,6.0,Credit Card,In-store,2023-07-14
482,TXN_4573576,Juice,2.0,3.0,6.0,Cash,In-store,2023-07-05
484,TXN_8006668,Tea,4.0,1.5,6.0,Credit Card,In-store,2023-12-22
487,TXN_3560062,Cookie,1.0,1.0,1.0,Cash,In-store,2023-03-20
491,TXN_6360132,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-09-16
494,TXN_7864939,Sandwich,3.0,4.0,12.0,Digital Wallet,In-store,2023-08-19
496,TXN_3740963,Salad,2.0,5.0,10.0,Digital Wallet,Takeaway,2023-01-22
498,TXN_6063966,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-10-24
499,TXN_3779640,Tea,1.0,1.5,1.5,Digital Wallet,In-store,2023-05-16
505,TXN_8136881,Salad,3.0,5.0,15.0,Cash,In-store,2023-08-28
506,TXN_3981449,Smoothie,2.0,4.0,8.0,Cash,In-store,2023-06-21
509,TXN_1485417,Cookie,3.0,1.0,3.0,Cash,In-store,ERROR
510,TXN_4033802,Tea,3.0,1.5,4.5,Cash,Takeaway,2023-03-02
512,TXN_9762324,Cake,2.0,3.0,6.0,Cash,In-store,ERROR
517,TXN_4696439,Cookie,1.0,1.0,1.0,Cash,In-store,2023-05-27
518,TXN_8826983,Smoothie,5.0,4.0,20.0,Cash,In-store,2023-01-14
522,TXN_2947822,Cake,4.0,3.0,12.0,Digital Wallet,In-store,2023-10-27
529,TXN_2493446,Sandwich,1.0,4.0,4.0,Cash,Takeaway,2023-05-19
530,TXN_4538354,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-04-21
533,TXN_2690314,Tea,5.0,1.5,7.5,Cash,In-store,2023-08-10
536,TXN_2968827,Salad,5.0,5.0,25.0,Digital Wallet,Takeaway,2023-09-14
538,TXN_1387401,Cookie,4.0,1.0,4.0,Cash,In-store,2023-10-19
540,TXN_3917193,Juice,5.0,3.0,15.0,Credit Card,Takeaway,2023-11-17
542,TXN_2062854,Sandwich,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-12-01
544,TXN_5624860,Tea,3.0,1.5,4.5,Credit Card,Takeaway,2023-08-22
553,TXN_3381656,Cake,5.0,3.0,15.0,Cash,Takeaway,2023-10-26
557,TXN_1183995,Salad,5.0,5.0,25.0,Digital Wallet,Takeaway,2023-03-28
562,TXN_3789752,Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-12-16
563,TXN_7578769,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-01-30
564,TXN_3515664,Coffee,2.0,2.0,4.0,Cash,Takeaway,2023-09-25
567,TXN_6422433,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-05-09
572,TXN_4669664,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-12-21
581,TXN_2213556,Coffee,1.0,2.0,2.0,Cash,In-store,2023-05-30
582,TXN_3826038,Salad,1.0,5.0,5.0,Cash,Takeaway,2023-10-20
584,TXN_7380277,Sandwich,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-04-24
588,TXN_9266394,Cookie,2.0,1.0,2.0,Credit Card,In-store,2023-07-12
592,TXN_6152588,Coffee,3.0,2.0,6.0,Cash,Takeaway,2023-11-21
596,TXN_5739806,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-09-18
597,TXN_9228978,Coffee,5.0,2.0,10.0,Digital Wallet,In-store,2023-02-09
603,TXN_1124753,Salad,4.0,5.0,20.0,Digital Wallet,In-store,2023-10-19
606,TXN_7611120,Juice,2.0,3.0,6.0,Cash,Takeaway,2023-03-30
610,TXN_6316959,Tea,2.0,1.5,3.0,Cash,In-store,2023-11-10
611,TXN_2265984,Cookie,5.0,1.0,5.0,Credit Card,Takeaway,2023-10-18
615,TXN_1123138,Salad,1.0,5.0,5.0,Cash,In-store,2023-02-10
616,TXN_9212503,Salad,2.0,5.0,10.0,Digital Wallet,Takeaway,2023-10-08
620,TXN_2806243,Salad,4.0,5.0,20.0,Digital Wallet,Takeaway,2023-01-14
623,TXN_3286932,Cookie,1.0,1.0,1.0,Digital Wallet,Takeaway,2023-07-11
624,TXN_3481470,Salad,4.0,5.0,20.0,Credit Card,In-store,2023-12-24
626,TXN_3469469,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-10-25
632,TXN_4998786,Cake,5.0,3.0,15.0,Credit Card,Takeaway,2023-10-25
635,TXN_2126408,Cookie,3.0,1.0,3.0,Cash,Takeaway,2023-10-19
637,TXN_8958593,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-07-08
638,TXN_2383598,Sandwich,2.0,4.0,8.0,Digital Wallet,In-store,2023-09-19
639,TXN_2211685,Smoothie,1.0,4.0,4.0,Credit Card,In-store,2023-06-06
643,TXN_4266787,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-01-12
644,TXN_5933480,Sandwich,3.0,4.0,12.0,Digital Wallet,In-store,2023-09-04
650,TXN_5447508,Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-06-28
651,TXN_5686113,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-09-09
655,TXN_3397609,Smoothie,2.0,4.0,8.0,Digital Wallet,In-store,2023-07-22
656,TXN_9347203,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-04-15
658,TXN_3383926,Cake,3.0,3.0,9.0,Cash,Takeaway,2023-07-08
659,TXN_6905718,Salad,5.0,5.0,25.0,Credit Card,In-store,2023-02-20
662,TXN_7993951,Tea,2.0,1.5,3.0,Digital Wallet,Takeaway,2023-12-14
666,TXN_9097641,Cake,4.0,3.0,12.0,Cash,Takeaway,2023-12-16
668,TXN_8536115,Cake,1.0,3.0,3.0,Credit Card,Takeaway,2023-07-11
670,TXN_2915281,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-07-01
671,TXN_3468006,Smoothie,3.0,4.0,12.0,Credit Card,Takeaway,2023-07-28
672,TXN_7604541,Juice,4.0,3.0,12.0,Credit Card,In-store,2023-04-16
673,TXN_7806146,Cake,3.0,3.0,9.0,Digital Wallet,In-store,2023-01-30
674,TXN_9238689,Cake,1.0,3.0,3.0,Digital Wallet,In-store,2023-03-09
675,TXN_2601689,Salad,4.0,5.0,20.0,Digital Wallet,Takeaway,2023-01-14
676,TXN_6428182,Cake,5.0,3.0,15.0,Cash,In-store,2023-11-10
677,TXN_6830557,Coffee,3.0,2.0,6.0,Digital Wallet,Takeaway,2023-11-08
678,TXN_6371264,Smoothie,5.0,4.0,20.0,Cash,Takeaway,2023-02-27
680,TXN_9236713,Cookie,5.0,1.0,5.0,Cash,In-store,2023-09-13
682,TXN_4690833,Cake,1.0,3.0,3.0,Cash,Takeaway,2023-05-23
683,TXN_7946489,Juice,1.0,3.0,3.0,Cash,Takeaway,2023-09-11
684,TXN_8661288,Salad,2.0,5.0,10.0,Digital Wallet,Takeaway,2023-01-27
691,TXN_6111710,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-06-18
693,TXN_1773873,Salad,5.0,5.0,25.0,Credit Card,Takeaway,2023-06-10
695,TXN_4570711,Sandwich,4.0,4.0,16.0,Credit Card,In-store,2023-12-11
696,TXN_5242469,Coffee,4.0,2.0,8.0,Credit Card,Takeaway,2023-04-01
700,TXN_1655100,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-12-20
701,TXN_1526864,Smoothie,3.0,4.0,12.0,Digital Wallet,In-store,2023-01-27
703,TXN_9866728,Juice,1.0,3.0,3.0,Cash,In-store,2023-10-26
704,TXN_1706201,Coffee,3.0,2.0,6.0,Credit Card,In-store,2023-08-23
705,TXN_2498488,Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-12-06
707,TXN_4431179,Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-08-13
713,TXN_2108894,Sandwich,4.0,4.0,16.0,Credit Card,In-store,2023-10-30
714,TXN_6347472,Tea,1.0,1.5,1.5,Digital Wallet,In-store,2023-03-22
719,TXN_8345723,Sandwich,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-08-27
720,TXN_9989415,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-05-26
723,TXN_2178964,Tea,4.0,1.5,6.0,Cash,Takeaway,2023-12-25
728,TXN_6581437,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-10-23
730,TXN_6128621,Salad,3.0,5.0,15.0,Digital Wallet,In-store,2023-11-10
735,TXN_4512118,Coffee,2.0,2.0,4.0,Digital Wallet,Takeaway,2023-04-20
736,TXN_5763254,Coffee,3.0,2.0,6.0,Digital Wallet,Takeaway,2023-09-15
740,TXN_4961655,Juice,5.0,3.0,15.0,Cash,Takeaway,2023-05-06
741,TXN_5595352,Juice,1.0,3.0,3.0,Cash,In-store,2023-02-20
745,TXN_1869814,Tea,1.0,1.5,1.5,Digital Wallet,Takeaway,2023-05-24
747,TXN_6910915,Tea,4.0,1.5,6.0,Digital Wallet,Takeaway,2023-05-06
753,TXN_5229169,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-09-08
758,TXN_5576265,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-04-08
769,TXN_7608816,Juice,3.0,3.0,9.0,Digital Wallet,In-store,2023-11-07
770,TXN_1046394,Smoothie,1.0,4.0,4.0,Cash,In-store,2023-04-29
772,TXN_2269396,Coffee,3.0,2.0,6.0,Digital Wallet,In-store,2023-10-26
773,TXN_9263967,Cookie,3.0,1.0,3.0,Credit Card,In-store,2023-09-14
775,TXN_2914088,Salad,5.0,5.0,25.0,Cash,In-store,2023-03-22
776,TXN_6571898,Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-02-02
781,TXN_2108486,Juice,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-12-28
792,TXN_5315441,Smoothie,5.0,4.0,20.0,Digital Wallet,In-store,2023-10-31
793,TXN_9196322,Cookie,4.0,1.0,4.0,Digital Wallet,In-store,2023-08-12
801,TXN_2393500,Juice,1.0,3.0,3.0,Credit Card,In-store,2023-12-15
803,TXN_7838465,Sandwich,3.0,4.0,12.0,Credit Card,Takeaway,2023-06-15
804,TXN_2447261,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-10-15
806,TXN_9036453,Smoothie,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-02-08
808,TXN_1460963,Coffee,3.0,2.0,6.0,Cash,In-store,2023-02-10
812,TXN_6691767,Salad,2.0,5.0,10.0,Cash,Takeaway,2023-02-05
814,TXN_6932070,Tea,4.0,1.5,6.0,Credit Card,In-store,2023-06-10
820,TXN_4640977,Cookie,3.0,1.0,3.0,Credit Card,In-store,2023-02-11
823,TXN_7896721,Cake,3.0,3.0,9.0,Credit Card,Takeaway,2023-04-22
828,TXN_7906197,Sandwich,5.0,4.0,20.0,Credit Card,In-store,2023-01-02
829,TXN_9018535,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-05-05
831,TXN_8066743,Tea,3.0,1.5,4.5,Cash,Takeaway,2023-11-13
834,TXN_6376175,Juice,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-02-24
839,TXN_7585348,Cake,3.0,3.0,9.0,Credit Card,Takeaway,2023-03-16
841,TXN_4005014,Sandwich,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-07-10
843,TXN_4478185,Cake,2.0,3.0,6.0,Cash,In-store,2023-08-25
844,TXN_7815651,Salad,1.0,5.0,5.0,Cash,In-store,2023-01-16
845,TXN_3461209,Juice,4.0,3.0,12.0,Credit Card,In-store,2023-04-26
847,TXN_1026827,Cookie,4.0,1.0,4.0,Digital Wallet,In-store,2023-01-02
855,TXN_5369555,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-02-24
857,TXN_8187656,Tea,4.0,1.5,6.0,Credit Card,Takeaway,2023-05-01
858,TXN_6463415,Coffee,3.0,2.0,6.0,Digital Wallet,In-store,2023-04-12
865,TXN_4634772,Juice,3.0,3.0,9.0,Credit Card,In-store,2023-01-12
867,TXN_8034156,Sandwich,1.0,4.0,4.0,Cash,In-store,2023-07-22
868,TXN_2163229,Cookie,4.0,1.0,4.0,Cash,Takeaway,2023-12-21
870,TXN_1343750,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-02-15
873,TXN_8022689,Tea,1.0,1.5,1.5,Cash,Takeaway,2023-06-15
874,TXN_9392028,Salad,5.0,5.0,25.0,Credit Card,In-store,2023-01-13
